army_leadership_1;Army Leadership 1;Fortifications de campagne;Feldbefestigungen;;;;;;;;;;;x
cavalry_47;Cavalry 47 ;;;;;;;;;;;;;x
cavalry_47_desc; ;;;;;;;;;;;;;x
cavalry_48;Cavalry 48 ;;;;;;;;;;;;;x
cavalry_48_desc; ;;;;;;;;;;;;;x
cavalry_49;Cavalry 49 ;;;;;;;;;;;;;x
cavalry_49_desc; ;;;;;;;;;;;;;x
cavalry_50;Cavalry 50 ;;;;;;;;;;;;;x
cavalry_50_desc; ;;;;;;;;;;;;;x
cavalry_51;Cavalry 51 ;;;;;;;;;;;;;x
cavalry_51_desc;The concept of denying the enemy access to the air above one's army was discovered early in the budding air war. Aircraft whose sole role was to engage and eliminate enemy aircraft found thier use well before their bomber cousins.;;;;;;;;;;;;;x
cavalry_52;Cavalry 52 ;;;;;;;;;;;;;x
cavalry_52_desc;In a never ending cycle, advances in one area led directly to advances in other areas. Dedicated fighter aircraft, whose role is to engage enemy aircraft, gained advanatges from the same sources as bombers, and in repsonse to advances in bomber aircraft. New engines, better designs, improved sights, and improved guns, made these fighters among the deadliest things in the air.;;;;;;;;;;;;;x
cavalry_53;Cavalry 53 ;;;;;;;;;;;;;x
cavalry_53_desc;Begining with the first pilot to drop a grenade on his enemy, the use of aircraft to deliver munitions to the enemy was acknowledged to be of great tactical and strategic value. To enhance and expand this ability, dedicated bomber aircraft were developed.;;;;;;;;;;;;;x
cavalry_54;Cavalry 54 ;;;;;;;;;;;;;x
cavalry_54_desc;Advances in aircraft design, improvements to construction, and improved aircraft engines greatly enhanced the abilities of bombers to accomplish thier missions. Increased range, greater payloads, and better armoring all made bombers a much greater threat to combatant nations.;;;;;;;;;;;;;x
artillery_1;Artillery 1;;;;;;;;;;;;;x
artillery_1_desc;We have learned new ways to besiege forts. Using a system of tunnels below and trenches above our seige works will slowly screep forward until our artillery can be brought into maximum effective range.;;;;;;;;;;;;;x
artillery_2;Artillery 2 ;;;;;;;;;;;;;x
artillery_2_desc; ;;;;;;;;;;;;;x
artillery_3;Artillery 3 ;;;;;;;;;;;;;x
artillery_3_desc; ;;;;;;;;;;;;;x
artillery_4;Artillery 4  ;;;;;;;;;;;;;x
artillery_4_desc; ;;;;;;;;;;;;;x
artillery_5;Artillery 5 ;;;;;;;;;;;;;x
artillery_5_desc; ;;;;;;;;;;;;;x
artillery_6;Artillery 6 ;;;;;;;;;;;;;x
artillery_6_desc; ;;;;;;;;;;;;;x
artillery_7;Artillery 7 ;;;;;;;;;;;;;x
artillery_7_desc; ;;;;;;;;;;;;;x
artillery_8;Artillery 8 ;;;;;;;;;;;;;x
artillery_8_desc; ;;;;;;;;;;;;;x
artillery_9;Artillery 9; ;;;;;;;;;;;;;x
artillery_9_desc; ;;;;;;;;;;;;;x
artillery_10;Artillery 10 ;;;;;;;;;;;;;x
artillery_10_desc; ;;;;;;;;;;;;;x
artillery_11;Artillery 11 ;;;;;;;;;;;;;x
artillery_11_desc; ;;;;;;;;;;;;;x
artillery_12;Artillery 12 ;;;;;;;;;;;;;x
artillery_12_desc; ;;;;;;;;;;;;;x
artillery_13;Artillery 13 ;;;;;;;;;;;;;x
artillery_13_desc; ;;;;;;;;;;;;;x
artillery_14;Artillery 14 ;;;;;;;;;;;;;x
artillery_14_desc; ;;;;;;;;;;;;;x
artillery_15;Artillery 15 ;;;;;;;;;;;;;x
artillery_15_desc; ;;;;;;;;;;;;;x
artillery_16;Artillery 16 ;;;;;;;;;;;;;x
artillery_16_desc; ;;;;;;;;;;;;;x
artillery_17;Artillery 17 ;;;;;;;;;;;;;x
artillery_17_desc; ;;;;;;;;;;;;;x
artillery_18;Artillery 18 ;;;;;;;;;;;;;x
artillery_18_desc; ;;;;;;;;;;;;;x
artillery_19;Artillery 19 ;;;;;;;;;;;;;x
artillery_19_desc; ;;;;;;;;;;;;;x
artillery_20;Artillery 20 ;;;;;;;;;;;;;x
artillery_20_desc; ;;;;;;;;;;;;;x
artillery_21;Artillery 21 ;;;;;;;;;;;;;x
artillery_21_desc; ;;;;;;;;;;;;;x
artillery_22;Artillery 22 ;;;;;;;;;;;;;x
artillery_22_desc; ;;;;;;;;;;;;;x
artillery_23;Artillery 23 ;;;;;;;;;;;;;x
artillery_23_desc; ;;;;;;;;;;;;;x
artillery_24;Artillery 24 ;;;;;;;;;;;;;x
artillery_24_desc; ;;;;;;;;;;;;;x
artillery_25;Artillery 25 ;;;;;;;;;;;;;x
artillery_25_desc; ;;;;;;;;;;;;;x
artillery_26;Artillery 26 ;;;;;;;;;;;;;x
artillery_26_desc; ;;;;;;;;;;;;;x
artillery_27;Artillery 27 ;;;;;;;;;;;;;x
artillery_27_desc; ;;;;;;;;;;;;;x
artillery_28;Artillery 28 ;;;;;;;;;;;;;x
artillery_28_desc; ;;;;;;;;;;;;;x
artillery_29;Artillery 29 ;;;;;;;;;;;;;x
artillery_29_desc; ;;;;;;;;;;;;;x
artillery_30;Artillery 30 ;;;;;;;;;;;;;x
artillery_30_desc; ;;;;;;;;;;;;;x
artillery_31;Artillery 31 ;;;;;;;;;;;;;x
artillery_31_desc; ;;;;;;;;;;;;;x
artillery_32;Artillery 32 ;;;;;;;;;;;;;x
artillery_32_desc; ;;;;;;;;;;;;;x
artillery_33;Artillery 33 ;;;;;;;;;;;;;x
artillery_33_desc; ;;;;;;;;;;;;;x
artillery_34;Artillery 34 ;;;;;;;;;;;;;x
artillery_34_desc; ;;;;;;;;;;;;;x
artillery_35;Artillery 35 ;;;;;;;;;;;;;x
artillery_35_desc; ;;;;;;;;;;;;;x
artillery_36;Artillery 36 ;;;;;;;;;;;;;x
artillery_36_desc; ;;;;;;;;;;;;;x
artillery_37;Artillery 37 ;;;;;;;;;;;;;x
artillery_37_desc; ;;;;;;;;;;;;;x
artillery_38;Artillery 38 ;;;;;;;;;;;;;x
artillery_38_desc; ;;;;;;;;;;;;;x
artillery_39;Artillery 39 ;;;;;;;;;;;;;x
artillery_39_desc; ;;;;;;;;;;;;;x
artillery_40;Artillery 40 ;;;;;;;;;;;;;x
artillery_40_desc; ;;;;;;;;;;;;;x
artillery_41;Artillery 41 ;;;;;;;;;;;;;x
artillery_41_desc; ;;;;;;;;;;;;;x
artillery_42;Artillery 42 ;;;;;;;;;;;;;x
artillery_42_desc; ;;;;;;;;;;;;;x
artillery_43;Artillery 43 ;;;;;;;;;;;;;x
artillery_43_desc; ;;;;;;;;;;;;;x
artillery_44;Artillery 44 ;;;;;;;;;;;;;x
artillery_44_desc; ;;;;;;;;;;;;;x
artillery_45;Artillery 45 ;;;;;;;;;;;;;x
artillery_45_desc; ;;;;;;;;;;;;;x
artillery_46;Artillery 46 ;;;;;;;;;;;;;x
artillery_46_desc; ;;;;;;;;;;;;;x
artillery_47;Artillery 47 ;;;;;;;;;;;;;x
artillery_47_desc; ;;;;;;;;;;;;;x
artillery_48;Artillery 48 ;;;;;;;;;;;;;x
artillery_48_desc; ;;;;;;;;;;;;;x
artillery_49;Artillery 49 ;;;;;;;;;;;;;x
artillery_49_desc;At this point artillery and divisional pieces trained to move the barrage for more flexible battlefield movement of the infantry, but also to optimize the fire and create 'killing zones'.;;;;;;;;;;;;;x
artillery_50;Artillery 50 ;;;;;;;;;;;;;x
artillery_50_desc;By loading artillery ammunition with poisonous gas substance the the killing zones stayed lethal for long periods of time. It also decreased the movement capacity of the defending units and the protective ability of concrete fortifications.;;;;;;;;;;;;;x
artillery_51;Artillery 51 ;;;;;;;;;;;;;x
artillery_51_desc;The first tank, sometimes called barrel, was blessed with mixed success due to the unreliability of these first steel monsters. However, when they worked they could open up the front wherever they went.;;;;;;;;;;;;;x
artillery_52;Artillery 52 ;;;;;;;;;;;;;x
artillery_52_desc;By introducing divisional artillery and mortars down on battalion level. Units got better firepower much faster which was very important both in offensive and defensive.;;;;;;;;;;;;;x
artillery_53;Artillery 53 ;;;;;;;;;;;;;x
artillery_53_desc;At this point tanks are more reliable and used in smaller units to break holes in the line where stormtroopers and regular infantry could pour in and fight the enemy.;;;;;;;;;;;;;x
artillery_54;Artillery 54 ;;;;;;;;;;;;;x
artillery_54_desc;Experience in the Great War showed the value and usefulness of tanks. However, those that saw action tended to be a bit unwieldy in rough terrain, and not very mobile. Tankettes were the first in a long line of developments in tank technology, that allowed for greater speeds and better maneuverability.;;;;;;;;;;;;;x
logistics_1;Logistics 1;;;;;;;;;;;;;x
logistics_1_desc; ;;;;;;;;;;;;;x
logistics_2;Logistics 2 ;;;;;;;;;;;;;x
logistics_2_desc; ;;;;;;;;;;;;;x
logistics_3;Logistics 3 ;;;;;;;;;;;;;x
logistics_3_desc; ;;;;;;;;;;;;;x
logistics_4;Logistics 4  ;;;;;;;;;;;;;x
logistics_4_desc; ;;;;;;;;;;;;;x
logistics_5;Logistics 5 ;;;;;;;;;;;;;x
logistics_5_desc; ;;;;;;;;;;;;;x
logistics_6;Logistics 6 ;;;;;;;;;;;;;x
logistics_6_desc; ;;;;;;;;;;;;;x
logistics_7;Logistics 7 ;;;;;;;;;;;;;x
logistics_7_desc; ;;;;;;;;;;;;;x
logistics_8;Logistics 8 ;;;;;;;;;;;;;x
logistics_8_desc; ;;;;;;;;;;;;;x
logistics_9;Logistics 9; ;;;;;;;;;;;;;x
logistics_9_desc; ;;;;;;;;;;;;;x
logistics_10;Logistics 10 ;;;;;;;;;;;;;x
logistics_10_desc; ;;;;;;;;;;;;;x
logistics_11;Logistics 11 ;;;;;;;;;;;;;x
logistics_11_desc; ;;;;;;;;;;;;;x
logistics_12;Logistics 12 ;;;;;;;;;;;;;x
logistics_12_desc; ;;;;;;;;;;;;;x
logistics_13;Logistics 13 ;;;;;;;;;;;;;x
logistics_13_desc; ;;;;;;;;;;;;;x
logistics_14;Logistics 14 ;;;;;;;;;;;;;x
logistics_14_desc; ;;;;;;;;;;;;;x
logistics_15;Logistics 15 ;;;;;;;;;;;;;x
logistics_15_desc; ;;;;;;;;;;;;;x
logistics_16;Logistics 16 ;;;;;;;;;;;;;x
logistics_16_desc; ;;;;;;;;;;;;;x
logistics_17;Logistics 17 ;;;;;;;;;;;;;x
logistics_17_desc; ;;;;;;;;;;;;;x
logistics_18;Logistics 18 ;;;;;;;;;;;;;x
logistics_18_desc; ;;;;;;;;;;;;;x
logistics_19;Logistics 19 ;;;;;;;;;;;;;x
logistics_19_desc; ;;;;;;;;;;;;;x
logistics_20;Logistics 20 ;;;;;;;;;;;;;x
logistics_20_desc; ;;;;;;;;;;;;;x
logistics_21;Logistics 21 ;;;;;;;;;;;;;x
logistics_21_desc; ;;;;;;;;;;;;;x
logistics_22;Logistics 22 ;;;;;;;;;;;;;x
logistics_22_desc;By planning a system of depots in peace time, set in a chain, these could be turned into focus points of the supply flow in war.;;;;;;;;;;;;;x
logistics_23;Logistics 23 ;;;;;;;;;;;;;x
logistics_23_desc;Logistical calculations offer standard measurements of how much supplies and reinforcements a standards unit needed during a defined time period made it easier to plan for a war.;;;;;;;;;;;;;x
logistics_24;Logistics 24 ;;;;;;;;;;;;;x
logistics_24_desc; ;;;;;;;;;;;;;x
logistics_25;Logistics 25 ;;;;;;;;;;;;;x
logistics_25_desc; ;;;;;;;;;;;;;x
logistics_26;Logistics 26 ;;;;;;;;;;;;;x
logistics_26_desc; ;;;;;;;;;;;;;x
logistics_27;Logistics 27 ;;;;;;;;;;;;;x
logistics_27_desc; ;;;;;;;;;;;;;x
logistics_28;Logistics 28 ;;;;;;;;;;;;;x
logistics_28_desc; ;;;;;;;;;;;;;x
logistics_29;Logistics 29 ;;;;;;;;;;;;;x
logistics_29_desc; ;;;;;;;;;;;;;x
logistics_30;Logistics 30 ;;;;;;;;;;;;;x
logistics_30_desc;Depots were focus points for the wartime supply system, but a replenishment transport organization was needed to get bullets and toilettpaper out to the men.;;;;;;;;;;;;;x
logistics_31;Logistics 31 ;;;;;;;;;;;;;x
logistics_31_desc; ;;;;;;;;;;;;;x
logistics_32;Logistics 32 ;;;;;;;;;;;;;x
logistics_32_desc; ;;;;;;;;;;;;;x
logistics_33;Logistics 33 ;;;;;;;;;;;;;x
logistics_33_desc; ;;;;;;;;;;;;;x
logistics_34;Logistics 34 ;;;;;;;;;;;;;x
logistics_34_desc; ;;;;;;;;;;;;;x
logistics_35;Logistics 35 ;;;;;;;;;;;;;x
logistics_35_desc; ;;;;;;;;;;;;;x
logistics_36;Logistics 36 ;;;;;;;;;;;;;x
logistics_36_desc; ;;;;;;;;;;;;;x
logistics_37;Logistics 37 ;;;;;;;;;;;;;x
logistics_37_desc; ;;;;;;;;;;;;;x
logistics_38;Logistics 38 ;;;;;;;;;;;;;x
logistics_38_desc; ;;;;;;;;;;;;;x
logistics_39;Logistics 39 ;;;;;;;;;;;;;x
logistics_39_desc; ;;;;;;;;;;;;;x
logistics_40;Logistics 40 ;;;;;;;;;;;;;x
logistics_40_desc;By checking certain attributes as morale, how well feed the soldiers were, illnesses and wounds it was possible to check how efficient the unit would fight in the upcoming combat in advance.;;;;;;;;;;;;;x
logistics_41;Logistics 41 ;;;;;;;;;;;;;x
logistics_41_desc;By counting losses on both sides and turn the figures into a matrix it was possible to estimate losses in a upcoming combat in advance.;;;;;;;;;;;;;x
logistics_42;Logistics 42 ;;;;;;;;;;;;;x
logistics_42_desc; ;;;;;;;;;;;;;x
logistics_43;Logistics 43 ;;;;;;;;;;;;;x
logistics_43_desc; ;;;;;;;;;;;;;x
logistics_44;Logistics 44 ;;;;;;;;;;;;;x
logistics_44_desc; ;;;;;;;;;;;;;x
logistics_45;Logistics 45 ;;;;;;;;;;;;;x
logistics_45_desc;By coordinating units by communicating and sending orders by telegraph the operational speed of units and decision-making increased vastly.;;;;;;;;;;;;;x
logistics_46;Logistics 46 ;;;;;;;;;;;;;x
logistics_46_desc;By making statistical standard measurements of how much ammunition was needed give the right effect against a predefined size of enemy unit in a predefined square area combat became more cost efficient.;;;;;;;;;;;;;x
logistics_47;Logistics 47 ;;;;;;;;;;;;;x
logistics_47_desc;By having high ranking officers attending politicians and being experts in defense commissions etc the Army could easily have a strong influence over the political decisions concerning the defense and the security policy.;;;;;;;;;;;;;x
logistics_48;Logistics 48 ;;;;;;;;;;;;;x
logistics_48_desc;These tables categorized tasks, position, etc so that it was easy in peace time to place personnel into combat formations. During mobilization the process was sped up as it was easy to know which soldier was to go to what company.;;;;;;;;;;;;;x
logistics_49;Logistics 49 ;;;;;;;;;;;;;x
logistics_49_desc;In wartime an influential Army that had lobbied for their cause for a long time could get full control not only over the excecution of the war, but also over the resource management of the country. This could basically be called a Military Dictatorship governed by the General Staff.;;;;;;;;;;;;;x
logistics_50;Logistics 50 ;;;;;;;;;;;;;x
logistics_50_desc;By pre-planning mobilization all reserve units had set mobilization areas and time tables for getting equipment, boarding trains, and frontal marching routes. This sped up the mobilization vastly.;;;;;;;;;;;;;x
logistics_51;Logistics 51 ;;;;;;;;;;;;;x
logistics_51_desc;In a highly militarized society, or a normal society in war, often needed not only military-civilan cooperation boards on a local level, but sometimes most of the local government could be appointed officers. This meant not only a strong military control, but also that the power of the Army increased disproportionaly in comparison to other governmental agencies.;;;;;;;;;;;;;x
logistics_52;Logistics 52 ;;;;;;;;;;;;;x
logistics_52_desc;Battlefield destruction called for airpower to focus on the bombing of frontline enemy military units, in close co-operation with friendly assaults launched against those enemy units.;;;;;;;;;;;;;x
logistics_53;Logistics 53 ;;;;;;;;;;;;;x
logistics_53_desc;As technology advanced, particularly in terms of motorisation, new concepts needed to be applied to more traditional doctrines. Supply, always an issue to an army, was greatly enhanced by these changes. It was now possible, as well as necessary, to establish major supply depots, from which entire sectors could be supplied. It was no longer necessary for long supply trains to feed frontline units, as centralised depots could rapidly dispense needed material to units.;;;;;;;;;;;;;x
logistics_54;Logistics 54 ;;;;;;;;;;;;;x
logistics_54_desc;Strategic destruction called for airpower to focus on the bombing of enemy cities and factories, in order to not only destroy the enemy's ability to produce the weaponry of war, but also to break the will of the enemy populace, thus leading to increased pressure on the enemy government to surrender.;;;;;;;;;;;;;x
finance_1;Finance 1;;;;;;;;;;;;;x
finance_1_desc; ;;;;;;;;;;;;;x
finance_2;Finance 2 ;;;;;;;;;;;;;x
finance_2_desc; ;;;;;;;;;;;;;x
finance_3;Finance 3 ;;;;;;;;;;;;;x
finance_3_desc; ;;;;;;;;;;;;;x
finance_4;Finance 4  ;;;;;;;;;;;;;x
finance_4_desc; ;;;;;;;;;;;;;x
finance_5;Finance 5 ;;;;;;;;;;;;;x
finance_5_desc; ;;;;;;;;;;;;;x
finance_6;Finance 6 ;;;;;;;;;;;;;x
finance_6_desc; ;;;;;;;;;;;;;x
finance_7;Finance 7 ;;;;;;;;;;;;;x
finance_7_desc; ;;;;;;;;;;;;;x
finance_8;Finance 8 ;;;;;;;;;;;;;x
finance_8_desc; ;;;;;;;;;;;;;x
finance_9;Finance 9; ;;;;;;;;;;;;;x
finance_9_desc; ;;;;;;;;;;;;;x
finance_10;Finance 10 ;;;;;;;;;;;;;x
finance_10_desc; ;;;;;;;;;;;;;x
finance_11;Finance 11 ;;;;;;;;;;;;;x
finance_11_desc; ;;;;;;;;;;;;;x
finance_12;Finance 12 ;;;;;;;;;;;;;x
finance_12_desc; ;;;;;;;;;;;;;x
finance_13;Finance 13 ;;;;;;;;;;;;;x
finance_13_desc; ;;;;;;;;;;;;;x
finance_14;Finance 14 ;;;;;;;;;;;;;x
finance_14_desc; ;;;;;;;;;;;;;x
finance_15;Finance 15 ;;;;;;;;;;;;;x
finance_15_desc; ;;;;;;;;;;;;;x
finance_16;Finance 16 ;;;;;;;;;;;;;x
finance_16_desc; ;;;;;;;;;;;;;x
finance_17;Finance 17 ;;;;;;;;;;;;;x
finance_17_desc; ;;;;;;;;;;;;;x
finance_18;Finance 18 ;;;;;;;;;;;;;x
finance_18_desc; ;;;;;;;;;;;;;x
finance_19;Finance 19 ;;;;;;;;;;;;;x
finance_19_desc; ;;;;;;;;;;;;;x
finance_20;Finance 20 ;;;;;;;;;;;;;x
finance_20_desc; ;;;;;;;;;;;;;x
finance_21;Finance 21 ;;;;;;;;;;;;;x
finance_21_desc; ;;;;;;;;;;;;;x
finance_22;Finance 22 ;;;;;;;;;;;;;x
finance_22_desc; ;;;;;;;;;;;;;x
finance_23;Finance 23 ;;;;;;;;;;;;;x
finance_23_desc; ;;;;;;;;;;;;;x
finance_24;Finance 24 ;;;;;;;;;;;;;x
finance_24_desc; ;;;;;;;;;;;;;x
finance_25;Finance 25 ;;;;;;;;;;;;;x
finance_25_desc; ;;;;;;;;;;;;;x
finance_26;Finance 26 ;;;;;;;;;;;;;x
finance_26_desc; ;;;;;;;;;;;;;x
finance_27;Finance 27 ;;;;;;;;;;;;;x
finance_27_desc; ;;;;;;;;;;;;;x
finance_28;Finance 28 ;;;;;;;;;;;;;x
finance_28_desc; ;;;;;;;;;;;;;x
finance_29;Finance 29 ;;;;;;;;;;;;;x
finance_29_desc; ;;;;;;;;;;;;;x
finance_30;Finance 30 ;;;;;;;;;;;;;x
finance_30_desc; ;;;;;;;;;;;;;x
finance_31;Finance 31 ;;;;;;;;;;;;;x
finance_31_desc; ;;;;;;;;;;;;;x
finance_32;Finance 32 ;;;;;;;;;;;;;x
finance_32_desc; ;;;;;;;;;;;;;x
finance_33;Finance 33 ;;;;;;;;;;;;;x
finance_33_desc; ;;;;;;;;;;;;;x
finance_34;Finance 34 ;;;;;;;;;;;;;x
finance_34_desc; ;;;;;;;;;;;;;x
finance_35;Finance 35 ;;;;;;;;;;;;;x
finance_35_desc; ;;;;;;;;;;;;;x
finance_36;Finance 36 ;;;;;;;;;;;;;x
finance_36_desc; ;;;;;;;;;;;;;x
finance_37;Finance 37 ;;;;;;;;;;;;;x
finance_37_desc; ;;;;;;;;;;;;;x
finance_38;Finance 38 ;;;;;;;;;;;;;x
finance_38_desc; ;;;;;;;;;;;;;x
finance_39;Finance 39 ;;;;;;;;;;;;;x
finance_39_desc; ;;;;;;;;;;;;;x
finance_40;Finance 40 ;;;;;;;;;;;;;x
finance_40_desc; ;;;;;;;;;;;;;x
finance_41;Finance 41 ;;;;;;;;;;;;;x
finance_41_desc; ;;;;;;;;;;;;;x
finance_42;Finance 42 ;;;;;;;;;;;;;x
finance_42_desc; ;;;;;;;;;;;;;x
finance_43;Finance 43 ;;;;;;;;;;;;;x
finance_43_desc; ;;;;;;;;;;;;;x
finance_44;Finance 44 ;;;;;;;;;;;;;x
finance_44_desc; ;;;;;;;;;;;;;x
finance_45;Finance 45 ;;;;;;;;;;;;;x
finance_45_desc; ;;;;;;;;;;;;;x
finance_46;Finance 46 ;;;;;;;;;;;;;x
finance_46_desc; ;;;;;;;;;;;;;x
finance_47;Finance 47 ;;;;;;;;;;;;;x
finance_47_desc; ;;;;;;;;;;;;;x
finance_48;Finance 48 ;;;;;;;;;;;;;x
finance_48_desc; ;;;;;;;;;;;;;x
finance_49;Finance 49 ;;;;;;;;;;;;;x
finance_49_desc; ;;;;;;;;;;;;;x
finance_50;Finance 50 ;;;;;;;;;;;;;x
finance_50_desc; ;;;;;;;;;;;;;x
finance_51;Finance 51 ;;;;;;;;;;;;;x
finance_51_desc; ;;;;;;;;;;;;;x
finance_52;Finance 52 ;;;;;;;;;;;;;x
finance_52_desc; ;;;;;;;;;;;;;x
finance_53;Finance 53 ;;;;;;;;;;;;;x
finance_53_desc; ;;;;;;;;;;;;;x
finance_54;Finance 54 ;;;;;;;;;;;;;x
finance_54_desc; ;;;;;;;;;;;;;x
trade_1;Trade 1;;;;;;;;;;;;;x
trade_1_desc; ;;;;;;;;;;;;;x
trade_2;Trade 2 ;;;;;;;;;;;;;x
trade_2_desc; ;;;;;;;;;;;;;x
trade_3;Trade 3 ;;;;;;;;;;;;;x
trade_3_desc; ;;;;;;;;;;;;;x
trade_4;Trade 4  ;;;;;;;;;;;;;x
trade_4_desc; ;;;;;;;;;;;;;x
trade_5;Trade 5 ;;;;;;;;;;;;;x
trade_5_desc; ;;;;;;;;;;;;;x
trade_6;Trade 6 ;;;;;;;;;;;;;x
trade_6_desc; ;;;;;;;;;;;;;x
trade_7;Trade 7 ;;;;;;;;;;;;;x
trade_7_desc; ;;;;;;;;;;;;;x
trade_8;Trade 8 ;;;;;;;;;;;;;x
trade_8_desc; ;;;;;;;;;;;;;x
trade_9;Trade 9; ;;;;;;;;;;;;;x
trade_9_desc; ;;;;;;;;;;;;;x
trade_10;Trade 10 ;;;;;;;;;;;;;x
trade_10_desc; ;;;;;;;;;;;;;x
trade_11;Trade 11 ;;;;;;;;;;;;;x
trade_11_desc; ;;;;;;;;;;;;;x
trade_12;Trade 12 ;;;;;;;;;;;;;x
trade_12_desc; ;;;;;;;;;;;;;x
trade_13;Trade 13 ;;;;;;;;;;;;;x
trade_13_desc; ;;;;;;;;;;;;;x
trade_14;Trade 14 ;;;;;;;;;;;;;x
trade_14_desc; ;;;;;;;;;;;;;x
trade_15;Trade 15 ;;;;;;;;;;;;;x
trade_15_desc; ;;;;;;;;;;;;;x
trade_16;Trade 16 ;;;;;;;;;;;;;x
trade_16_desc; ;;;;;;;;;;;;;x
trade_17;Trade 17 ;;;;;;;;;;;;;x
trade_17_desc; ;;;;;;;;;;;;;x
trade_18;Trade 18 ;;;;;;;;;;;;;x
trade_18_desc; ;;;;;;;;;;;;;x
trade_19;Trade 19 ;;;;;;;;;;;;;x
trade_19_desc; ;;;;;;;;;;;;;x
trade_20;Trade 20 ;;;;;;;;;;;;;x
trade_20_desc; ;;;;;;;;;;;;;x
trade_21;Trade 21 ;;;;;;;;;;;;;x
trade_21_desc; ;;;;;;;;;;;;;x
trade_22;Trade 22 ;;;;;;;;;;;;;x
trade_22_desc; ;;;;;;;;;;;;;x
trade_23;Trade 23 ;;;;;;;;;;;;;x
trade_23_desc; ;;;;;;;;;;;;;x
trade_24;Trade 24 ;;;;;;;;;;;;;x
trade_24_desc; ;;;;;;;;;;;;;x
trade_25;Trade 25 ;;;;;;;;;;;;;x
trade_25_desc; ;;;;;;;;;;;;;x
trade_26;Trade 26 ;;;;;;;;;;;;;x
trade_26_desc; ;;;;;;;;;;;;;x
trade_27;Trade 27 ;;;;;;;;;;;;;x
trade_27_desc; ;;;;;;;;;;;;;x
trade_28;Trade 28 ;;;;;;;;;;;;;x
trade_28_desc; ;;;;;;;;;;;;;x
trade_29;Trade 29 ;;;;;;;;;;;;;x
trade_29_desc; ;;;;;;;;;;;;;x
trade_30;Trade 30 ;;;;;;;;;;;;;x
trade_30_desc; ;;;;;;;;;;;;;x
trade_31;Trade 31 ;;;;;;;;;;;;;x
trade_31_desc; ;;;;;;;;;;;;;x
trade_32;Trade 32 ;;;;;;;;;;;;;x
trade_32_desc; ;;;;;;;;;;;;;x
trade_33;Trade 33 ;;;;;;;;;;;;;x
trade_33_desc; ;;;;;;;;;;;;;x
trade_34;Trade 34 ;;;;;;;;;;;;;x
trade_34_desc; ;;;;;;;;;;;;;x
trade_35;Trade 35 ;;;;;;;;;;;;;x
trade_35_desc; ;;;;;;;;;;;;;x
trade_36;Trade 36 ;;;;;;;;;;;;;x
trade_36_desc; ;;;;;;;;;;;;;x
trade_37;Trade 37 ;;;;;;;;;;;;;x
trade_37_desc; ;;;;;;;;;;;;;x
trade_38;Trade 38 ;;;;;;;;;;;;;x
trade_38_desc; ;;;;;;;;;;;;;x
trade_39;Trade 39 ;;;;;;;;;;;;;x
trade_39_desc; ;;;;;;;;;;;;;x
trade_40;Trade 40 ;;;;;;;;;;;;;x
trade_40_desc; ;;;;;;;;;;;;;x
trade_41;Trade 41 ;;;;;;;;;;;;;x
trade_41_desc; ;;;;;;;;;;;;;x
trade_42;Trade 42 ;;;;;;;;;;;;;x
trade_42_desc; ;;;;;;;;;;;;;x
trade_43;Trade 43 ;;;;;;;;;;;;;x
trade_43_desc; ;;;;;;;;;;;;;x
trade_44;Trade 44 ;;;;;;;;;;;;;x
trade_44_desc; ;;;;;;;;;;;;;x
trade_45;Trade 45 ;;;;;;;;;;;;;x
trade_45_desc; ;;;;;;;;;;;;;x
trade_46;Trade 46 ;;;;;;;;;;;;;x
trade_46_desc; ;;;;;;;;;;;;;x
trade_47;Trade 47 ;;;;;;;;;;;;;x
trade_47_desc; ;;;;;;;;;;;;;x
trade_48;Trade 48 ;;;;;;;;;;;;;x
trade_48_desc; ;;;;;;;;;;;;;x
trade_49;Trade 49 ;;;;;;;;;;;;;x
trade_49_desc; ;;;;;;;;;;;;;x
trade_50;Trade 50 ;;;;;;;;;;;;;x
trade_50_desc; ;;;;;;;;;;;;;x
trade_51;Trade 51 ;;;;;;;;;;;;;x
trade_51_desc; ;;;;;;;;;;;;;x
trade_52;Trade 52 ;;;;;;;;;;;;;x
trade_52_desc; ;;;;;;;;;;;;;x
trade_53;Trade 53 ;;;;;;;;;;;;;x
trade_53_desc; ;;;;;;;;;;;;;x
trade_54;Trade 54 ;;;;;;;;;;;;;x
trade_54_desc; ;;;;;;;;;;;;;x
investment_1;Investment 1;;;;;;;;;;;;;x
investment_1_desc; ;;;;;;;;;;;;;x
investment_2;Investment 2 ;;;;;;;;;;;;;x
investment_2_desc; ;;;;;;;;;;;;;x
investment_3;Investment 3 ;;;;;;;;;;;;;x
investment_3_desc; ;;;;;;;;;;;;;x
investment_4;Investment 4  ;;;;;;;;;;;;;x
investment_4_desc; ;;;;;;;;;;;;;x
investment_5;Investment 5 ;;;;;;;;;;;;;x
investment_5_desc; ;;;;;;;;;;;;;x
investment_6;Investment 6 ;;;;;;;;;;;;;x
investment_6_desc; ;;;;;;;;;;;;;x
investment_7;Investment 7 ;;;;;;;;;;;;;x
investment_7_desc; ;;;;;;;;;;;;;x
investment_8;Investment 8 ;;;;;;;;;;;;;x
investment_8_desc; ;;;;;;;;;;;;;x
investment_9;Investment 9; ;;;;;;;;;;;;;x
