;;;;x
ev_20000068;Guadeloupe and Martinique Colonized;x;;
desc_ev_20000068;Two new islands have been colonized and settled for the glory of our nation.;x;;
ev_20000069;Pearl Mosque Complete;x;;
desc_ev_20000069;Moti Masjid, is a 17th-century religious building located inside the Lahore Fort. It is a small, white marble structure built by Mughal emperor Shah Jahan, and is among his prominent extensions (such as Sheesh Mahal and Naulakha pavilion) to the Lahore Fort Complex.;x;;
ev_20000070;University of Trnava Opens;x;;
desc_ev_20000070;The original Jesuit university was founded in 1635 by the Archbishop of Esztergom, P?ter P?zm?ny. It had a faculty of arts and a faculty of theology at first. It lasted 142 years in Trnava before being moved.;x;;
ev_20000071;Atlas Novus Published;x;;
desc_ev_20000071;In 1629, Willem Blaeu bought the copperplates of several dozens of maps from Jodocus Hondius II's widow. Afterwards, he published an Atlantis Appendix to Mercator's atlas in 1630, containing 60 maps, but no text. The next year a new edition was published, with 98 maps and descriptive text in Latin. Willem and his son Joan Blaeu made a public announcement in an Amsterdam newspaper that they would publish their own full atlas in 1634. Their first atlas was completed in 1635 and appeared in four different versions: Novus Atlas,  Atlas Novus, Toonneel des Aerdrycks and finally Theatre du Monde ou Nouvel Atlas.;x;;
ev_20000072;University of Oxford Chartered;x;;
desc_ev_20000072;In 1636, Chancellor William Laud, Archbishop of Canterbury, codified the university's statutes. These, to a large extent, remained its governing regulations until the mid-19th century. Laud was also responsible for the granting of a charter securing privileges for the University Press, and he made significant contributions to the Bodleian Library, the main library of the university.;x;;
ev_20000073;Tiangong Kaiwu Published;x;;
desc_ev_20000073;The Tiangong Kaiwu, or The Exploitation of the Works of Nature was a Chinese encyclopedia compiled by Song Yingxing. It was published in May 1637 with funding provided by Song's patron Tu Shaokui. The Tiangong Kaiwu is an encyclopedia covering a wide range of technical issues, including the use of various gunpowder weapons. Copies of the book were very scarce in China during the Qing dynasty, but original copies of the book were preserved in Japan.;x;;
ev_20000074;Teatro San Cassiano Complete;x;;
desc_ev_20000074;The Teatro San Cassiano or Teatro di San Cassiano in Venice was the first public opera house when it opened in 1637. The theatre takes its name from the neighbourhood where it was located, the parish of San Cassiano near the Rialto. It was a stone building owned by the Venetian Tron family. It was considered 'public' as it was directed by an impresario, or general manager, for the paying public rather than for nobles exclusively.;x;;
ev_20000075;Red Fort Begins Construction;x;;
desc_ev_20000075;Shah Jahan commissioned construction of the Red Fort in 1638, when he decided to shift his capital from Agra to Delhi. Its design is credited to architect Ustad Ahmad Lahauri. The fort lies along the Yamuna River, which fed the moats surrounding most of the walls. Construction began in the sacred month of Muharram, on 13 May 1638.;x;;
ev_20000076;Iberian Union Ends!;x;;
desc_ev_20000076;As we tried to strengthen our control over Portugal it only led to angering the Portuguese nobility. This situation culminated in a revolution by the nobility and high bourgeoisie on December 1, 1640, 60 years after the crowning of Philip I. The rebels killed Secretary of State Miguel de Vasconcelos and imprisoned the king's cousin, the Duchess of Mantua, who had governed Portugal in his name. The support of the people became apparent almost immediately and soon John, 8th Duke of Braganza, was acclaimed King of Portugal throughout the country as John IV. By December 2, 1640, John had already sent a letter to the Municipal Chamber of ?vora as sovereign of the country.;x;;
ev_20000077;Braganza Dynasty Started;x;;
desc_ev_20000077;The House of Braganza became the reigning house of the Kingdom of Portugal and the Algarves in 1640, when Jo?o II, Duke of Braganza, was acclaimed King Joao IV by the Portuguese nobility and subsequently waged the Portuguese Restoration War. The House of Braganza was only recognized as the legitimate ruling house of Portugal by the House of Habsburg during the reign of King Afonso VI, though effective and official control of the kingdom was seized and established in the 1640s.;x;;
ev_20000078;First Coffee House Opened;x;;
desc_ev_20000078;Our commerce with the Ottoman Empire yielded with an interesting new good, the coffee. It is nothing more but some brown seed, that, if roasted and boiled creates a liquid that energizes people. The very first house that actually serves this drink has been opened in our city.;x;;
ev_20000079;Massive Epidemic Breaks Out!;x;;
desc_ev_20000079;The plague has returned to our country, wiping out major cities and villages all around. Non of the traditional curing techniques worked, all we can do is pray and hide. May the Sun rise again over China.;x;;
ev_20000080;Rembrandt's Night Watch Published;x;;
desc_ev_20000080;Militia Company of District II under the Command of Captain Frans Banninck Cocq, also known as The Shooting Company of Frans Banning Cocq and Willem van Ruytenburch, but commonly referred to as The Night Watch, is a 1642 painting by Rembrandt van Rijn. The painting may be more properly titled by its long since forgotten name The Company of captain Frans Banning Cocq and lieutenant Willem van Ruytenburch preparing to march out. In the 18th century the painting became known as the Night Watch.;x;;
ev_20000081;Start of the Qing Dynasty;x;;
desc_ev_20000081;"The dynasty was founded by the Jurchen Aisin Gioro clan in Northeastern China, historically known as Manchuria. In the late sixteenth century, Nurhachi, originally a Ming vassal, began organizing Jurchen clans into ""Banners,"" military-social units and forming a Manchu people. By 1636, his son Hong Taiji began driving Ming forces out of southern Manchuria and declared a new dynasty, the Qing.";x;;
ev_20000082;Toricelli Discovers the Barometer;x;;
desc_ev_20000082;"Torricelli's chief invention was the mercury barometer. ""This instrument is named from two Greek words, signifying two measures of weight, since by it a column of air is weighed against a column of mercury."" The barometer arose from the need to solve a practical problem. Pump makers of the Grand Duke of Tuscany attempted to raise water to a height of 12 meters or more, but found that 10 meters was the limit with a suction pump (as recounted in Galileo's Dialogue). Torricelli employed mercury, fourteen times more dense than water. In 1643 he created a tube approximately one meter long, sealed at the top, filled it with mercury, and set it vertically into a basin of mercury. The column of mercury fell to about 76 cm, leaving a Torricellian vacuum above. As we now know, the column's height fluctuated with changing atmospheric pressure; this was the first barometer. The discovery of the principle of the barometer has perpetuated his fame (""Torricellian tube"", ""Torricellian vacuum"").";x;;
ev_20000083;Sigismund's Column Erected;x;;
desc_ev_20000083;Erected between 1643 and 1644, the column was constructed on the orders of Sigismund's son and successor, King W?adys?aw IV Vasa. It was designed by the Italian-born architect Constantino Tencalla and the sculptor Clemente Molli, and cast by Daniel Tym. The Sigismund's Column was modelled on the Italian columns in front of Basilica di Santa Maria Maggiore , and the Column of Phocas in Rome.;x;;
ev_20000084;Red Fort Complete;x;;
desc_ev_20000084;The Red Fort was built as the fortified palace of Shahjahanabad, capital of the fifth Mughal Emperor Shah Jahan, in 1648. Named for its massive enclosing walls of red sandstone, it is adjacent to the older Salimgarh Fort, built by Islam Shah Suri in 1546. The imperial apartments consist of a row of pavilions, connected by a water channel known as the Stream of Paradise. The Red Fort is considered to represent the zenith of Mughal creativity under Shah Jahan.;x;;
ev_20000085;First Modern Palio Race;x;;
desc_ev_20000085;"The earliest known antecedents of the race are medieval. The town's central piazza was the site of public games, largely combative: pugna, a sort of many-sided boxing match or brawl; jousting; and in the 16th century, bullfights. Public races organized by the contrade were popular from the 14th century on; called palii alla lunga, they were run across the whole city. When the Grand Duke of Tuscany outlawed bullfighting in 1590, the contrade took to organizing races in the Piazza del Campo. The first such races were on buffalo-back and called bufalate; asinate, races on donkey-back, later took their place, while horse racing continued elsewhere. The first modern Palio (called palio alla tonda to distinguish it from the earlier palii alla lunga) took place this year.";x;;
ev_20000086;Amsterdam Flooded!;x;;
desc_ev_20000086;The recent, and still ongoing huge storm has raised the water level of the sea so much that the city of Amsterdam got flooded. May God have mercy on our souls!;x;;
ev_20000087;Taj Mahal Complete!;x;;
desc_ev_20000087;"The Taj Mahal, the ""crown of palaces"" has been finished. It was built by Mughal emperor Shah Jahan in memory of his third wife, Mumtaz Mahal. The Taj Mahal is widely recognized as ""the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage"".";x;;
ev_20000088;Free Our Brethen!;x;;
desc_ev_20000088;The people of Ukrain have lived long enough under the oppression of the Polish. We wish to free them, so they can rejoin us, their brothers and sisters. For Mother Russia, forward!;x;;
ev_20000089;Titan Discovered!;x;;
desc_ev_20000089;The moon Titan, the largest moon of Saturn has been discovered by the Dutch astronomer Christiaan Huygens. Huygens was inspired by Galileo's discovery of Jupiter's four largest moons in 1610 and his improvements in telescope technology.[19] Christiaan, with the help of his brother Constantijn Huygens, Jr., began building telescopes around 1650. Christiaan Huygens discovered this first observed moon orbiting Saturn with the first telescope they built.;x;;
ev_20000090;Stockholms Banco Issues Banknotes;x;;
desc_ev_20000090;Johan Palmstruch had made two failed proposals for the creation of a banking institution in the 1650s before his third proposal, with the addition of a promise to pay half of the bank's profits to the crown, was accepted. King Charles X Gustav thus signed two charters on November 30, 1656 to create an exchange bank and a loans bank. The bank itself was no great innovation as it was simply an imitation of the large and successful banks in Amsterdam and Hamburg that had been founded earlier in the 17th century, but it was hoped that the bank would help to stabilise Sweden's currency. Sweden at that time did not have a single currency, rather there was one daler minted in copper (kopparmynt) and another minted in silver (silvermynt). As the metal content of a copper daler had to be worth as much as that of a silver one, this meant that copper daler were large and heavy plate-sized coins. In practice, however, the silver daler was worth more and these were often hoarded, so generally only these large kopparmynt daler were commonly available. Palmstruch's second major innovation was the introduction of paper banknotes as a solution to the bank's problems balancing deposits and loans. To cover the amounts requested by the account holders, in 1661 he began to make out credit notes (Kreditivsedlar) in round denominations which were freely transferable and backed by the promise of future payment in metal. These were the first European banknotes.;x;;
ev_20000091;Fifty Shilling Coin Minted;x;;
desc_ev_20000091;The English fifty shilling coin, worth 50/-, was only ever minted once, in the year 1656. It was a milled gold coin weighing 22.7 grams and with a diameter of 30 millimetres. Only eleven examples are known to survive. One extremely fine specimen was recorded to have been sold for ?15,250 in May 1989.;x;;
ev_20000092;Business Found in Osaka;x;;
desc_ev_20000092;A new bank and money changing facility has been found in the city of Osaka. This, being a larger business may bring us some extra income.;x;;
ev_20000093;The Great Fire of Edo;x;;
desc_ev_20000093;Today morning the people of Japan woke up to most of the city of Edo, our capital burning. We could barely do anything to control the fire, leading to the death of tens of thousands.;x;;
ev_20000094;First Chocolate House Opens;x;;
desc_ev_20000094;With the growing commerce with the New World the new plant, chocolate became more and more widespread between our nobility, leading to the opening of the first shop selling only chocolate in the World.;x;;
ev_20000095;Coffee Introduced;x;;
desc_ev_20000095;The new drink that has been spreading from Venice, coffee has reached our capital, becoming popular between our nobility.;x;;
ev_20000096;Cocoa?;x;;
desc_ev_20000096;A new luxurity, cocoa has been brought to our court by Infanta Maria Theresa. Our nobility was cautious at first but they all seemed to enjoy this new, bitter delicacy.;x;;
ev_20000097;De Homine Published;x;;
desc_ev_20000097;In 1658, Thomas Hobbes published the final section of his philosophical system, completing the scheme he had planned more than twenty years before. De Homine consisted for the most part of an elaborate theory of vision. The remainder of the treatise dealt cursorily with some of the topics more fully treated in the Human Nature and the Leviathan.;x;;
ev_20000098;Great Drought!;x;;
desc_ev_20000098;Our country faces a great drought once again leading to poverty, hunger and starvation. Our people are fighting for the tiniest of food supplies and we can do nothing about it, sadly.;x;;
ev_20000099;First Banknotes Issued;x;;
desc_ev_20000099;The first short-lived attempt at issuing banknotes by a central bank was in 1661 by Stockholms Banco, a predecessor of the Bank of Sweden. These replaced the copper-plates being used instead as a means of payment. This banknote issue was brought about by the peculiar circumstances of the Swedish coin supply. Cheap foreign imports of copper had forced the Crown to steadily increase the size of the copper coinage to maintain its value relative to silver. The heavy weight of the new coins encouraged merchants to deposit it in exchange for receipts. These became banknotes when the manager of the Bank decoupled the rate of note issue from the bank currency reserves.;x;;
ev_20000100;Public Transport?;x;;
desc_ev_20000100;A new way of transportation inside the city of Paris has been developed, called the omnibus. This is a larger car, with multiple seats pulled by a horse. This way multiple people can travel together, who go in the same direction without the use of multiple stagecoaches.;x;;
ev_20000101;Royal Society Chartered;x;;
desc_ev_20000101;The Royal Society of London for Improving Natural Knowledge, commonly known as the Royal Society, is a learned society for science, and is possibly the oldest such society still in existence. ;x;;
ev_20000102;Academy of Fine Arts Founded;x;;
desc_ev_20000102;In the classes for fine arts, sculpture, visual arts, painting, artistic concepts, art education, gold- and silversmithing, as well as graphic design, the professors and students carry out candid discussions. The master courses of Architecture and Urban Studies as well as Art and Public Space are among the most renowned in their fields.;x;;
ev_20000103;Theatre Royal Opens on Drury Lane;x;;
desc_ev_20000103;The Theatre Royal, Drury Lane, commonly known as Drury Lane, is a West End theatre in Covent Garden, in the London borough of Westminster. The building faces Catherine Street (earlier named Bridges or Brydges Street) and backs onto Drury Lane. The current building is the most recent in a line of four theatres which were built at the same location.;x;;
ev_20000104;Severe Frost;x;;
desc_ev_20000104;The winter is even more severe than what was expected previously, leading to many deaths because of the extreme cold and the low level of heating.;x;;
ev_20000105;Prix de Rome;x;;
desc_ev_20000105;The Prix de Rome was a scholarship for arts students. It was created, initially for painters and sculptors, in France during the reign of Louis XIV. It was an annual bursary for promising artists having proved their talents by completing a very difficult elimination contest. The prize, organised by the Acad?mie Royale de Peinture et de Sculpture (Royal Academy of Painting and Sculpture), was open to their students.;x;;
ev_20000106;Duke of York and Albany's Maritime Regiment of Foot;x;;
desc_ev_20000106;Duke of York and Albany's Maritime Regiment of Foot raised from the Trained Bands of London and later renamed Lord Admiral's Regiment. It is regarded as the earliest predecessor of the Royal Marines.;x;;
ev_20000107;Gazzetta di Mantova;x;;
desc_ev_20000107;The Gazzetta di Mantova has been published for the first time as a daily newspaper. It quickly became popular, being the first local and one of the first of the world's newspapers.;x;;
ev_20000108;Journal des Scavans;x;;
desc_ev_20000108;The Journal des scavans, established by Denis de Sallo, was the earliest academic journal published in Europe. Its content included obituaries of famous men, church history, and legal reports.;x;;
ev_20000109;First Scientific Journal!;x;;
desc_ev_20000109;"The Philosophical Transactions of the Royal Society (Phil. Trans.) is a scientific journal published by the Royal Society of London. It is the first journal in the world exclusively devoted to science. The use of the word ""philosophical"" in the title refers to ""natural philosophy"", which was the equivalent of what would now be generically called ""science"".";x;;
ev_20000110;Great Plague of London;x;;
desc_ev_20000110;The plague has returned once again, killing tens of thousands of our people. The court had no choice but to be moved away in these dangerous times. The temporary capital has been chosen to be Salisbury. May God protect us from this deadly disease.;x;;
ev_20000111;University of Kiel Founded;x;;
desc_ev_20000111;Kiel University has been founded in the state of Kiel under the name of Academia Holsatorum Chiloniensis by Duke Christian Albert. It quickly became the largest and most prestigous university of North Germany.;x;;
ev_20000112;The Plague Ends;x;;
desc_ev_20000112;The great plague has finally ended, taking thousands of innocent souls with itself. We don't know what brought God's wrath upon us, but we have been severly punished for it. With the disease gone the court can finally return to London.;x;;
ev_20000113;Great Fire of London;x;;
desc_ev_20000113;The plague has just finished and yet again London faces another disaster. This morning a fire started somewhere leading to the ultimate destruction of great areas in the city. Luckily barely any citizen casulties have been noted, but many has been reported missing...;x;;
ev_20000114;French Academy of Sciences Founded;x;;
desc_ev_20000114;The French Academy of Sciences is a learned society, founded by Louis XIV at the suggestion of Jean-Baptiste Colbert, to encourage and protect the spirit of French scientific research.;x;;
ev_20000115;Lund University Opens;x;;
desc_ev_20000115;After the recent developements the needs of the people led to the charting and opening of a new university in Lund, the University of Lund. This will allow us to educate the coming generations better, improving our scientific output.;x;;
ev_20000116;Dubrovnik Shaken!;x;;
desc_ev_20000116;One of the most devastating earthquake has hit our lands. Almost the whole city, including many public buildings have been destroyed. These are dark times for our people.;x;;
ev_20000117;Paradise Lost Published;x;;
desc_ev_20000117;"Paradise Lost is an epic poem in blank verse by the poet John Milton. The poem concerns the Biblical story of the Fall of Man: the temptation of Adam and Eve by the fallen angel Satan and their expulsion from the Garden of Eden. Milton's purpose, stated in Book I, is to ""justify the ways of God to men"".";x;;
ev_20000118;First French Grenadiers;x;;
desc_ev_20000118;A grenadier was originally a specialized soldier, first established as a distinct role in the mid-to-late 17th century by our great king, Louis. Their role was the throwing of grenades and sometimes assault operations. At that time grenadiers were chosen from the strongest and largest soldiers.;x;;
ev_20000119;Riksbank Founded;x;;
desc_ev_20000119;After the collapse of the previous great bank of Sweden the new bank chose not issue banknotes. This bank is the first one in whole Europe that became a national bank, the central bank of our glorious nation.;x;;
ev_20000120;Etna Erupts!;x;;
desc_ev_20000120;The volcano of Etna has became active once again, erupting, surprising the local population as they tried to do their best to protect themselves, it wasn't enough for many of them. We shall pray for their souls.;x;;
ev_20000121;Hanseatic League's Last Meeting;x;;
desc_ev_20000121;By the late 16th century, the League had imploded and could no longer deal with its own internal struggles, the social and political changes that accompanied the Protestant Reformation, the rise of Dutch and English merchants, and the incursion of the Ottoman Empire upon its trade routes and upon the Holy Roman Empire itself. Only nine members attended the last formal meeting in 1669, ending this once great trading alliance.;x;;
ev_20000122;Famine!;x;;
desc_ev_20000122;The recent year's bad crops and droughts led to food shortage between our borders. We can do nothing but watch as the people of our nation kills one another to eat. Even our nobles have to portion their secret food stockages.;x;;
ev_20000123;Stradivari's First Violin;x;;
desc_ev_20000123;A citizen of Cremona, called Stadivari has created a violin of remarkable quality. It's handcrafted and is valued really high. His name will leave a mark on the history of music, that is for sure.;x;;
ev_20000124;Okaya&Co Ltd. Founded;x;;
desc_ev_20000124;The first big trading company has been founded in the town of Okaya. Their business in our country led to a boost to governmental income.;x;;
ev_20000125;Tongrentang Founded;x;;
desc_ev_20000125;Yue Xianyang, a scientist and doctor serving under our dynasty has created a company solely for the developement of new medications and the research of herbs. We shall experience a boost to our population from the outcome of these researches.;x;;
ev_20000126;Acad?mie Royale d'Architecture Founded;x;;
desc_ev_20000126;An academy dedicated to the art of architecture has been founded by Louis XIV, under the impulsion of Jean-Baptiste Colbert. This may lead to the construction of buildings that shall remind the future generations of our glorious history.;x;;
ev_20000127;Chelsea Physic Garden Established;x;;
desc_ev_20000127;A new botanical garden has been founded in London, also referred to as Apothecaries' Garden to study the herbs we know of, and help the developement of the science of healing.;x;;
ev_20000128;Mitsui Takatoshi Granted Permission;x;;
desc_ev_20000128;Mitsui Takatoshi a prominent citizen of our nation has been given the right to work as a money exchanger in our country. He immediatly developed a new system of inter city loans that didn't only mean profit for him, but to the state aswell.;x;;
ev_20000129;Royal Greenwich Observatory Begins Construction;x;;
desc_ev_20000129;The establishment of a Royal Observatory was proposed in 1674 by Sir Jonas Moore who, in his role as Surveyor General at the Ordnance Office, persuaded King Charles II to the creation of the observatory, with John Flamsteed being installed as its director. The Ordnance Office was given responsibility for building the Observatory, with Moore providing the key instruments and equipment for the observatory at his own personal cost. Flamsteed House, the original part of the Observatory, was designed by Sir Christopher Wren, probably with the assistance of Robert Hooke, and was the first purpose-built scientific research facility in Britain.;x;;
ev_20000130;Flavoured Ice?;x;;
desc_ev_20000130;"A new delicacy has been showed to the Parisian nobility, called ""ice cream"". This is a strange food made of freezing flavored liquid, then crushing it until it's soft. It really is strange, but the nobles did appreciate it, after being cautious with it at first.";x;;
ev_20000131;Fleet Ran Aground!;x;;
desc_ev_20000131;The fleet of Jean d'Estrees, a marshal of our nation has ran his fleet onto a reef, destroying it completely while he was heading to the port of Curacao.;x;;
ev_20000132;First Woman With Doctorate;x;;
desc_ev_20000132;Elena Lucrezia Cornaro Piscopia, a citizen of Mantua has succesfully finished her studies in the university of Mantua. She is the first woman in the history to ever achieve this. ;x;;
ev_20000133;Jizya Reintroduced;x;;
desc_ev_20000133;The Islamic tax of Jizya has been reintroduced into the law of our Empire following the recent years' wars and constructions. The population may not be happy, but this is what we must do in order to achieve our goals of expansion and developement.;x;;
ev_20000134;Great Comet Sighted;x;;
desc_ev_20000134;Our nation is the first to sight the great comet that appeared on the sky today. In the past people may have thought that comets bring bad luck, but luckily we live in enlightened times.;x;;
ev_20000135;The Palatinate Acquired;x;;
desc_ev_20000135;Our relations and diplomatic transactions with the Duchy of The Palatinate led to bright results. With the death of the last of their dynasty we inherited all of their lands. We will surely find a good opportunity to use them strategically against our rivals.;x;;
ev_20000136;Canal du Midi Opens;x;;
desc_ev_20000136;The Canal du Midi, a 241 kilometers long canal has been finally opened in Southern France, connecting the Garonne River to the Mediterranean and this way with the older Canal de Garonne it connects the Mediterrean with the Atlantic Ocean.;x;;
ev_20000137;Basilica of Santa Maria della Saluta Finished;x;;
desc_ev_20000137;A new minor basilica has been built in Venice, called Santa Maria della Salute. The Salute is a vast, octagonal building with two domes and a pair of picturesque bell-towers at the back. Built on a platform made of 1,000,000 wooden piles, it is constructed of Istrian stone and marmorino (brick covered with marble dust). At the apex of the pediment stands a statue of the Virgin Mary who presides over the church which was erected in her honour. The fa?ade is decorated with figures of Saint George, Saint Theodore, the Evangelists, the Prophets, Judith with the head of Holofernes.;x;;
ev_20000138;Court Moved to Versailles;x;;
desc_ev_20000138;Holy king Louis XIV moved his royal court to the palace of Versailles, founding the most well-known symbol of French Baroque and of the Absolute Monarchy.;x;;
ev_20000139;New Tzar!;x;;
desc_ev_20000139;A new tzar has been crowned earlier this day, as he began his rulership as Peter, the first. May he reign for a long time and bring Russia to glory!;x;;
ev_20000140;Moscow Riots;x;;
desc_ev_20000140;The serfs and soldiers have risen up in the city of Moscow against their officers and the nobles, butchering them as they could not hide, because of the attack's suddenness. May God save their souls.;x;;
ev_20000141;Take Vienna!;x;;
desc_ev_20000141;Our armies are larger than ever. Our people desire more lands, loot and glory. There is no time better than now to go and take what is rightfully ours and fulfill our goal of conquering the Habsburgs, our sworn enemies. In the name of Allah, forward!;x;;
ev_20000142;Wild Boars Disappear;x;;
desc_ev_20000142;Hunting has always been a part of our culture, yet the growing nobility has gone way too far with their hobby. The wild boars, once a sigil of the ancient tribes has been hunted to extinction on the Isle of Britain.;x;;
ev_20000143;Chief Minister Assassinated!;x;;
desc_ev_20000143;Our chief minister, Hotta Masatoshi has been executed leaving the shogun without any proper advisors. This led to reforms that were only bad for our nation and decisions that have all been regretted by our apparently weak shogun.;x;;
ev_20000144;The Greatest Poet?;x;;
desc_ev_20000144;A poet of our nation, Saikaku composed 23500 verses under twenty four hours. This is an achievement that the Western Barbarians shall never reach. It's a great day to be Japanese!;x;;
ev_20000145;World's First Street Lighting;x;;
desc_ev_20000145;The recent cold and dark winters, and the criminal acts done under the cover of these nights led to a new project in the city of London. The creation of a lantern system on the streets that were centrally operated at dark winter nights to prevent misdeeds.;x;;
ev_20000146;Pantheon Destroyed!;x;;
desc_ev_20000146;Our recent activities against the Ottoman Empire led to a sad result. One of our ships was given information about a possible gunpowder storage, and fired at it without order. Apparently this storage was the Acropolis, as the Ottomans believed noone would destroy such a relic of ancient times. This will surely lower the overall view of our nation.;x;;
ev_20000147;Bulgaria Rises Up!;x;;
desc_ev_20000147;Our European province of Bulgaria got enough of our oppresive rulership and rose up against it. We can do nothing but use our forces to recapture the lands that are rightfully ours.;x;;
ev_20000148;The Great Siberian Road;x;;
desc_ev_20000148;The longest road of history has begun construction joining the far east with our central provinces. This will surely be a long project, but it will lead to the developement of new cities along the way, and it will surely make trade easier.;x;;
ev_20000149;Famine in Mexico City!;x;;
desc_ev_20000149;The weak crops and droughts led to the shortage of food in Mexico City, one of our highest populated cities in the New World. The unrest of the population is growing slowly, but surely.;x;;
ev_20000150;Academia Operosorum Labacensium Founded;x;;
desc_ev_20000150;The Academia Operosorum Labacensium has been founded in the city of Ljubljana as an association of 23 scholars. We shall see an increase in scientific developement in the following years.;x;;
ev_20000151;An European Federation?;x;;
desc_ev_20000151;William Penn, a big real estate entrepreneur and philisopher has created an idea of the United European Nation, to stop the inner conflicts of Europe and create a location of peaceful developement in the world. His first proposal was to create an European Parliament, of course it being completely unrealistic, was denied.;x;;
ev_20000152;Musical Traditions;x;;
desc_ev_20000152;A new book has been assembled for Sultan II by the prince of Moldavia, Dimitrie Cantemir, who is also a historian, linguist and ethnographer, called The Book of the Science of Music. It covers the musical and other traditions of our Empire far and wide.;x;;
ev_20000153;Bank of England Founded;x;;
desc_ev_20000153;The establishment of the bank was devised by Charles Montagu, 1st Earl of Halifax, in 1694, to the plan which had been proposed by William Paterson three years before, but not acted upon. The Royal Charter was granted on 27 July through the passage of the Tonnage Act 1694.;x;;
ev_20000154;Slave Ship Sinks;x;;
desc_ev_20000154;The slave ship called Hannibal has sinked on its voyage to the New World. Luckily it was still close to the shore, but about half of the slaves still drowned or got taken away by the waves.;x;;
ev_20000155;Press Censorship Lifted;x;;
desc_ev_20000155;The law regulating the press has not been renewed leading to a somewhat free press in our country. This is something that has not been seen in any other western country yet. We will see how it works out.;x;;
ev_20000156;Mughal Ship Raided;x;;
desc_ev_20000156;One of the largest mughal ship, carrying a huge amount of treasures has been raided by the English privateer Henry Every. This is the most succesful raid we ever carried out since first used privateers. The Mughal Empire warned us that they'll expel their merchants if another ship of theirs is raided in the future.;x;;
ev_20000157;Castillo de San Marcos Complete;x;;
desc_ev_20000157;The largest fort in the New World has been completed in the northest part of our colonies, Florida. This shall protect it from anyone else of imperialistic goals.;x;;
ev_20000158;Inquisitions of Evora Begun;x;;
desc_ev_20000158;The inquisition of the jewish population of Evora has begun, as the local leading priests declared them heretic. This leaded to a massive holocaust of the local jewish people.;x;;
ev_20000159;Charles XII Crowned;x;;
desc_ev_20000159;Charles XII, king of Sweden has been crowned. He is already being referred to as the Swedish Meteor. Every citizen in our nation, especially the nobility predicts that he'll lead Sweden to a new glory.;x;;
ev_20000160;Kronor Burns!;x;;
desc_ev_20000160;The royal palace of Kronor burnt down today with the royal library. Books of great value were destroyed in the fire, last copies of old codexes aswell. This is a grim day for our nation.;x;;
ev_20000161;Palanquin Spreads;x;;
desc_ev_20000161;The use of palanquin has been spreading rapidly in Europe reaching every corner of it. It came to us from the Arabs. Most of the nobles of our country have also adopted it, using slaves to travel around in cities. Of course it is not so appealing to the lower classes.;x;;
ev_20000162;First Steam Pump;x;;
desc_ev_20000162;Thomas Savery, an English inventor and engineer has succesfully created a working steam pump that is more than useful to pump out water from mines. He was given a royal patent to start manufacturing this new invention.;x;;
ev_20000163;Beards Taxed;x;;
desc_ev_20000163;Peter I has issued a tax on anyone who has a beard, trying to break the ties of Russia's eastern origins and westernizing the country. Of course this reform was not popular between the nobles, especially the boyars.;x;;
ev_20000164;Title of Khalsa Created;x;;
desc_ev_20000164;The tenth Sikh Guru, Gobind Sinkh has introduced a new title to the Sikh society, the Khalsa, that is the collective body of all initiated Sikhs, represented by the five beloved-ones and can be called the Guru Panth, the embodiment of the Guru.;x;;
ev_20000165;Australian Flora and Fauna Collected;x;;
desc_ev_20000165;The first complete collection of the different types of living beings in the Australian continent has begun by explorer and scientist William Dampier.;x;;
ev_20000166;Academy of Sciences Founded;x;;
desc_ev_20000166;The Prussian Academy of Sciences has been founded, with well-known polymath Gottfried Wilhelm Leibniz as the president. We can expect a boost to our scientific advancement.;x;;
ev_20000167;World's First Piano;x;;
desc_ev_20000167;A new musical instrument has been recorded to be built in the city of Florence. It has multiple keys, which if pressed move a hammer to hit a metal string of different length. It may become popular one day.;x;;
ev_20000168;The 18th Century!;x;;
desc_ev_20000168;The morning was just like any other, yet the Sun today shines differently, as it dawned upon a new century of new conflicts, new inventions and a completely new era.;x;;
ev_20000169;The 47 Ronin;x;;
desc_ev_20000169;After the forced seppuku of daimyo Asano Naganori, his bodyguards, 47 samurai, who, with their master dead, are now ronins, have swore revenge on the killer or killers, starting their search on the same day.;x;;
ev_20000170;Seed Drill Invented;x;;
desc_ev_20000170;A new invention, the seed drill has been invented by agriculturist Jethro Tull. This device makes planting seeds way easier, it only needs a horse to pull it, as it sows the seeds in neat rows automaticly.;x;;
ev_20000171;Earthquake in the Apennines;x;;
desc_ev_20000171;An earthquake has shaken the county this morning, leading to many landslides, avalanches. Many people died, and we are still searching the remote farms, villages for survivors. Some of them were completely cut off, so we still can't be sure about the complete damage done.;x;;
ev_20000172;Kira Yoshinaka Murdered!;x;;
desc_ev_20000172;Daimyo Kira Yoshinaka was murdered by the 47 ronins who swore revenge. After commiting the act 46 of them commited ritual seppuku, as they completed their only remaining goal on this world.;x;;
ev_20000173;First Mardi Gras in Mobile;x;;
desc_ev_20000173;"Mardi Gras, also Fat Tuesday in English, refers to events of the Carnival celebrations, beginning on or after the Epiphany or Kings day and culminating on the day before Ash Wednesday. Mardi Gras is French for ""Fat Tuesday,"" reflecting the practice of the last night of eating richer, fatty foods before the ritual fasting of the Lenten season.";x;;
ev_20000174;First Complete Census;x;;
